SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,500,0.1740,86.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A6,1000,0.1523,152.28
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,No Blank Envelopes,100,0.4287,42.87
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,No Blank Envelopes,250,0.2096,52.39
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,No Blank Envelopes,500,0.1143,57.16
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,No Blank Envelopes,1000,0.1000,100.03
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,100,0.5827,58.27
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,250,0.2996,74.89
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,500,0.1803,90.16
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,Include Natural Envelopes - A6,1000,0.1570,157.03
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,100,0.4446,44.46
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,250,0.2223,55.57
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,500,0.1207,60.34
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,No Blank Envelopes,1000,0.1032,103.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,100,0.5986,59.86
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,250,0.3123,78.07
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,500,0.1867,93.34
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,Include Natural Envelopes - A6,1000,0.1602,160.22
"5"" x 7""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,25,1.5247,38.12
"5"" x 7""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,50,0.8893,44.46
"5"" x 7""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,100,0.4923,49.23
"5"" x 7""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,250,0.2350,58.75
"5"" x 7""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,500,0.1429,71.45
"5"" x 7""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,No Blank Envelopes,1000,0.1302,130.20
"5"" x 7""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,Include Natural Envelopes - A7,25,1.8047,45.12
