SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,PRODUCT STYLE ,,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,500,0.1524,76.21
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1111,111.15
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4605,46.05
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2604,65.10
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1524,76.21
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1111,111.15
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,100,0.4287,42.87
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,250,0.2540,63.50
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1493,74.64
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1080,107.97
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4287,42.87
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2540,63.50
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1493,74.64
