SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,100,0.2382,23.82
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,250,0.1334,33.34
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,500,0.1207,60.34
"4"" x 4""",Square,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.1159,115.93
"4"" x 4""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.2382,23.82
"4"" x 4""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.1334,33.34
"4"" x 4""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.1270,63.50
"4"" x 4""",Square,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,1000,0.1207,120.68
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,100,0.2858,28.58
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,250,0.1715,42.87
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,500,0.1619,80.97
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,1000,0.1556,155.61
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.2698,26.98
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.1461,36.52
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.1461,73.04
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.1318,131.80
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.3652,36.52
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.2223,55.57
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.2128,106.39
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.2064,206.41
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.3652,36.52
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.2223,55.57
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.2128,106.39
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.2064,206.41
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.3652,36.52
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,250,0.2223,55.57
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,500,0.2128,106.39
